Address,Balance
0xe114C71CddADE507958CeFB0F129E2cA2D29Ce6C,572636531149852780000
0x29e22E6c3163CC90E1ECd71642671B367cd9dA89,5366990796426182000000
0x0c6955106b950894893aFc7916cbd7A5a181B985,676689343783577700000
0x769fD84bBaf0333Ac9f82a3e8D16735e01617386,10000000000000000
0x70976C53bbf35A60D43d76b5D6331e6D3f6d54ce,375000000000000000000000
0x83031A2214aa0728212E9552a40103e8f7892b55,375000000000000000000000
0x5C8701acFfCFd0bACf346964329048481e24379d,375000000000000000000000
0xC7a3CC170C39412Bba14adFa3024037b04966996,375000000000000000000000
0xAaE568617636281c7631E24f3A54637C66Ae56e8,1500000000000000000000000
0xb811Ad11DA565f6A9a9037a665620cEc75d2278c,500000000000000000000000
